id,date,source,url,title,content,authors,summary
0,2025-10-05,katadata.co.id,https://katadata.co.id/berita/nasional/68e1f762ae315/prabowo-perintahkan-panglima-tni-berbenah-ganti-organisasi-yang-usang,"Prabowo Perintahkan Panglima TNI Berbenah, Ganti Organisasi yang Usang","Presiden Prabowo Subianto meminta Tentara Nasional Indonesia (TNI) untuk terus mengikuti perkembangan teknologi. Dia juga mengingatkan agar Panglima TNI Jenderal Agus Subiyanto terus memodernisasi organisasi untuk merespons kemajuan zaman.

Pesan tersebut disampaikan Prabowo saat perayaan HUT Ke-80 TNI di Jakarta, Minggu (5/10). Dalam pidatonya, Prabowo meminta Jenderal Agus dan para kepala staf di TNI agar lembaga tersebut terus mengkaji ilmu pengetahuan dan teknologi.

""Kaji terus organisasi, bila perlu organisasi yang usang diganti dengan organisasi yang tepat untuk kepentingan bangsa Indonesia,"" kata Prabowo.

Secara khusus, Prabowo menginstruksikan TNI agar tidak ketinggalan kemajuan teknologi siber hingga kecerdasan buatan. ""Sekali lagi, jangan berhenti berlatih, jangan berhenti belajar,"" katanya.

Dalam kesempatan tersebut, Prabowo juga meminta TNI untuk selalu berbenah. Dia juga berharap pemimpin TNI bisa mencontohkan kepemimpinan yang mumpuni.

Secara khusus, Prabowo memerintahkan Panglima TNI dan para kepala staf melakukan seleksi kepemimpinan di tubuh TNI. Dia juga menginstruksikan Jenderal Agus dan para kepala staf menyeleksi pemimpin yang dirasa kompeten tanpa memandang usianya.

""Tidak perlu selalu memperhitungkan senioritas, yang penting prestasi, pengabdian, cinta tanah air,"" kata Prabowo.",Ameidyo Daud Nasution,"Presiden Prabowo Subianto menekankan pentingnya modernisasi TNI untuk tidak ketinggalan dalam perkembangan teknologi terkini, dalam sambutan HUT Ke-80 TNI di Jakarta."
1,2025-10-05,katadata.co.id,https://katadata.co.id/berita/nasional/68e1e94b57247/pesan-prabowo-ke-tni-seleksi-kepemimpinan-tak-perlu-selalu-karena-senioritas,Pesan Prabowo ke TNI: Seleksi Kepemimpinan Tak Perlu Selalu karena Senioritas,"Presiden Prabowo Subianto meminta Tentara Nasional Indonesia (TNI) untuk selalu membina diri. Dia juga berharap pemimpin TNI bisa mencontohkan kepemimpinan yang mumpuni.

Secara khusus, Prabowo memerintahkan Panglima TNI Jenderal TNI Agus Subiyanto dan para kepala staf melakukan seleksi kepemimpinan di tubuh TNI. Dia juga menginstruksikan Jenderal Agus dan para kepala staf menyeleksi pemimpin yang dirasa kompeten tanpa memandang usianya.

""Tidak perlu selalu memperhitungkan senioritas, yang penting prestasi, pengabdian, cinta tanah air,"" kata Prabowo dalam pidato HUT Ke-80 TNI di Jakarta, Minggu (5/10).

Prabowo juga meminta para prajurit TNI untuk menuntut kepemimpinan terbaik di lembaga tersebut. Ia lalu mengingatkan agar unsur pimpinan TNI dari setiap tingkatan untuk menjadi contoh.

""Tidak ada tempat untuk pemimpin-pemimpin yang tidak kompeten, yang tidak profesional, yang tidak mengerti tugasnya,"" katanya.

Dalam kesempatan tersebut, Prabowo memerintahkan TNI agar selalu menggembleng dirinya. Ia juga meminta militer mampu mengikuti perkembangan zama dengan tetap memantau perkembangan teknologi.

""TNI tidak boleh ketinggalan, tidak boleh lengah,"" katanya.",Ameidyo Daud Nasution,"Dalam peringatan HUT Ke-80 TNI, Prabowo Subianto menginstruksikan pengembangan kepemimpinan yang lebih profesional di TNI, mengutamakan prestasi dan kompetensi tanpa memperhitungkan senioritas."
2,2025-10-05,katadata.co.id,https://katadata.co.id/berita/nasional/68e1dc4d98505/prabowo-pidato-hut-ke-80-tni-tni-timbul-dan-tenggelam-bersama-rakyat,Prabowo Pidato HUT ke-80 TNI: TNI Timbul dan Tenggelam Bersama Rakyat,"Presiden Prabowo Subianto hari ini menghadiri HUT ke-80 TNI. Dalam pidatonya, Prabowo mengingatkan bahwa TNI siap berkorban untuk bangsa dan rakuat Indonesia.

""TNI adalah anak kandung rakyat Indonesia. TNI berasal dari rakyat, TNI timbul dan tenggelam bersama rakyat Indonesia,"" kata Prabowo dalam pidato HUT ke-80 TNI di Silang Monas, Jakarta, Minggu (5/10).

Prabowo mengatakan, peran TNI di tengah ketidakpastian global sangat penting karena tulang punggung pertahanan Indonesia. Oleh sebab itu, ia meminta TNI siap berkorban untuk masyarakat.

""TNI harus siap melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia,"" kata Prabowo.

Dalam kesempatan tersebut, Prabowo mengucapkan terima kasih atas prestasi dan pengabdian TNI. Menurut Presiden, TNI selalu berada di depan saat masa-masa kritis bangsa.

""TNI tidak akan ragu-ragu untuk mengutamakan kepentingan bangsa dan negara dan rakyat di atas segala kepentingan yang lain,"" katanya.

Sebelum berpidato, Prabowo sempat mengecek pasukan beserta alutsista yang berjejer di Lapangan Silang Monas. Presiden meninjau pasukan dengan menumpangi kendaraan Maung berwarna putih.

Dari atas kendaraan yang sama, Presiden Prabowo didampingi oleh Menteri Pertahanan Sjafrie Sjamsoeddin, Panglima TNI Jenderal TNI Agus Subiyanto dan Komandan Upacara Letnan Jenderal TNI Bambang Trisnohadi, yang sehari-hari berdinas sebagai Panglima Komando Gabungan Wilayah Pertahanan (Pangkogabwilhan) III.

Di belakang kendaraan Prabowo, ada tiga kepala staf TNI, yaitu Kepala Staf TNI Angkatan Darat Jenderal TNI Maruli Simanjuntak, Kepala Staf TNI Angkatan Laut Laksamana TNI Muhammad Ali, dan Kepala Staf TNI Angkatan Udara Marsekal TNI M. Tonny Harjono, ikut mengawal Presiden saat prosesi pengecekan pasukan.",Ameidyo Daud Nasution,"Presiden Prabowo Subianto memperingati HUT ke-80 TNI, menekankan pengorbanan TNI untuk Indonesia, dan berterima kasih atas pengabdian mereka selama masa krisis bangsa."
3,2025-10-04,katadata.co.id,https://katadata.co.id/berita/nasional/68e0ddb7401da/tugu-monas-ditutup-sementara-untuk-wisatawan-saat-hut-tni-simak-pengalihannya,"Tugu Monas Ditutup Sementara untuk Wisatawan Saat HUT TNI, Simak Pengalihannya","Pengelola Monumen Nasional (Monas) menutup sementara Tugu Monas untuk wisatawan pada Minggu (5/10). Penutupan dilakukan seiring dengan peringatan HUT ke-80 TNI yang diadakan di kawasan Jakarta Pusat tersebut.

""Tutup karena ada banyak peralatan dan mobilisasi pendukung acara yang ada di kawasan Tugu Monas,"" kata Kepala Unit Pengelola Kawasan (UPK) Monas, Muhammad Isa Sarnuri saat dihubungi di Jakarta, Sabtu.

Isa mengatakan, Tugu Monas akan kembali dibuka untuk wisatawan setelah acara formal yang rencananya dihadiri Presiden Prabowo Subianto. Presiden dijadwalkan menjadi inspektur upacara peringatan HUT TNI.

Namun dia tak bisa memastikan waktunya karena sifatnya situasional. ""Akan dibuka setelah acara formalnya selesai. Lihat situasi dan kondisi di lapangan karena acara dihadiri RI 1,"" ujar Isa.

Masyarakat yang ingin menyaksikan peringatan HUT ke-80 TNI dapat datang ke Silang Monas melalui pintu selain Silang Barat Laut. Pintu Silang Barat Laut biasanya terbatas untuk lintasan VIP.

Sementara itu, Wakil Gubernur Jakarta, Rano Karno mengajak masyarakat datang kawasan Monas besok untuk ikut serta merayakan HUT TNI.

""Besok, 5 Oktober HUT TNI. Barangkali ada yang mau lihat Monas silahkan. Mumpung gratis,"" kata dia di kawasan Ancol, Jakarta Utara.

Di Monas, TNI memamerkan 1.047 alat utama sistem senjata (alutsista) terdiri dari kendaraan taktis, kendaraan artileri, helikopter, pesawat tempur hingga pesawat angkut dalam acara perayaan HUT ke-80 di Silang Monas.

Dari jumlah tersebut, 156 di antaranya merupakan pesawat terdiri dari pesawat angkut, salah satunya Hercules C-130 dan pesawat tempur, seperti F-16, Sukhoi dan Hawk 100/200.

Para penerbang tempur akan menampilkan beragam atraksi di udara, mulai dari simulasi tempur hingga manuver terbang yang dapat dilihat langsung dari Silang Monas.",Ira Guslina Sufa,Pengelola Monumen Nasional (Monas) menutup sementara Tugu Monas untuk wisatawan pada Minggu (5/10). Penutupan dilakukan seiring dengan peringatan HUT ke-80 TNI yang diadakan di kawasan Jakarta Pusat
4,2025-10-04,katadata.co.id,https://katadata.co.id/berita/internasional/68e0b247060a7/trump-perintahkan-israel-berhenti-bom-gaza-usai-hamas-setujui-gencatan-senjata,Trump Perintahkan Israel Berhenti Bom Gaza Usai Hamas Setujui Gencatan Senjata,"Presiden Amerika Serikat Donald Trump menyambut baik respons Hamas terhadap usulannya soal gencatan senjata dan pertukaran tahanan. Trump menilai pernyataan terbaru dari Hamas merupakan bentuk kesiapan Hamas menyambut perdamaian jangka panjang.

“Israel harus segera menghentikan pengeboman di Gaza agar para sandera bisa diselamatkan dengan aman dan cepat!” tulis Trump di platform Truth Social miliknya seperti dikutip Sabtu (4/10).

Menurut Trump desakan bagi Israel untuk menghentikan pengeboman bukan hanya tentang keaman di Gaza melainkan sebuah upaya untuk mewujudkan perdamaian. “Ini bukan hanya soal Gaza, tapi soal perdamaian yang telah lama dicari di Timur Tengah,” kata Trump lagi.

Gedung Putih sebelumnya merilis video yang menampilkan Trump merekam pesan soal Gaza, meski belum jelas kapan akan dipublikasikan. Hamas sebelumnya menyatakan setuju atas rencana Trump, termasuk pembebasan semua sandera Israel.

Hamas juga menyetujui penyerahan jenazah, dan penyerahan kendali Gaza kepada otoritas teknokrat Palestina yang independen. Menurut Israel, 48 sandera masih ditahan di Gaza, termasuk 20 yang diyakini masih hidup.

Sekitar 11.100 warga Palestina ditahan di penjara Israel, banyak di antaranya mengalami penyiksaan, kelaparan, dan pengabaian medis, menurut laporan media dan lembaga HAM.

Dalam pernyataannya di Telegram, Hamas menyebut isu-isu lain dalam rencana Trump, terkait masa depan Gaza dan hak-hak rakyat Palestina, harus diputuskan melalui posisi nasional bersama sesuai hukum dan resolusi internasional.

Sumber Palestina mengatakan kepada Anadolu bahwa Hamas telah menyampaikan tanggapan resminya kepada para mediator dan meminta penjelasan atas beberapa poin dalam rencana tersebut. Hamas menyatakan telah menggelar konsultasi internal dan dengan faksi-faksi Palestina serta para mediator sebelum mengambil posisi terhadap usulan Trump.

Kelompok pejuang kemerdekaan Palestina itu juga menghargai upaya Arab, dunia Islam, dan komunitas internasional, termasuk Trump, yang menyerukan diakhirinya perang di Gaza, pertukaran tahanan, bantuan kemanusiaan segera, penolakan pendudukan, dan penolakan pengusiran rakyat Palestina.

Trump sebelumnya memberi tenggat hingga Ahad pukul 18.00 waktu Washington (2200 GMT) bagi Hamas untuk menyetujui rencana tersebut. Rencana itu bertujuan menjadikan Gaza zona bebas senjata, dengan pemerintahan transisi yang diawasi badan internasional baru di bawah Trump.

Isi rencana mencakup pembebasan semua sandera Israel dalam 72 jam sejak persetujuan, ditukar dengan ratusan tahanan Palestina. Rencana ini juga menyerukan penghentian permusuhan, perlucutan senjata kelompok bersenjata di Gaza, dan penarikan bertahap pasukan Israel.

Pemerintahan sementara akan dijalankan otoritas teknokrat di bawah pengawasan AS. Israel telah memberlakukan blokade atas Gaza, wilayah kantong Palestina berpenduduk hampir 2,4 juta orang, selama hampir 18 tahun.

Sejak Maret, blokade diperketat dengan penutupan perbatasan dan larangan bantuan makanan serta obat, memicu kelaparan. Sejak Oktober 2023, perang genosida Israel telah menewaskan hampir 66.300 warga Palestina, mayoritas perempuan dan anak-anak.

PBB dan lembaga HAM memperingatkan bahwa Gaza nyaris tak layak huni, dengan kelaparan dan penyakit meluas di tengah pengungsian besar-besaran.",Ira Guslina Sufa,Presiden Amerika Serikat Donald Trump menyambut baik respons Hamas terhadap usulannya soal gencatan senjata dan pertukaran tahanan. Trump menilai pernyataan terbaru dari Hamas merupakan jalan damai
5,2025-10-04,katadata.co.id,https://katadata.co.id/berita/nasional/68e08d1615a12/solo-run-fest-2025-catat-6000-peserta-perkuat-sport-tourism-solo,"Solo Run Fest 2025 Catat 6.000 Peserta, Perkuat Sport Tourism Solo","Solo Run Fest 2025 sukses digelar pada 27-28 September 2025 di Taman Balekambang, Solo, Jawa Tengah.

Ajang sport tourism ini diikuti oleh 6.000 peserta lari dari berbagai kota di Indonesia, sekaligus menegaskan tagline “For Lasting Legacy” yang diusung sejak 2023.

Rute lari dirancang aman, nyaman, dan penuh cerita, menghadirkan pengalaman khas kota Solo dengan dukungan hangat dari masyarakat.

Selain kompetisi lari, festival ini juga menampilkan sportswear bazaar, bazaar UMKM, dan music concert sebagai hiburan penutup.

Penyelenggara menegaskan bahwa “For Lasting Legacy” bukan sekadar slogan, melainkan komitmen menjadikan Solo Run Fest sebagai ajang olahraga yang berdampak pada gaya hidup sehat, penguatan UMKM, dan promosi pariwisata Solo.

Dengan partisipasi 6.000 pelari, Solo Run Fest 2025 kian memperkuat posisinya sebagai agenda sport tourism tahunan yang patut ditunggu.","Septiani Teberlina, Tim Publikasi Katadata","Solo Run Fest 2025 sukses menarik 6.000 peserta dari berbagai kota di Indonesia. Ajang ini tak hanya mempromosikan gaya hidup sehat, tapi juga memperkuat UMKM dan pariwisata Solo."
6,2025-10-03,katadata.co.id,https://katadata.co.id/berita/nasional/68dfd6301fe14/bgn-butuh-tambahan-20-ribu-tenaga-ahli-gizi-untuk-program-makan-bergizi-gratis,BGN Butuh Tambahan 20 Ribu Tenaga Ahli Gizi untuk Program Makan Bergizi Gratis,"Badan Gizi Nasional atau BGN membutuhkan sekitar 20 ribu tenaga ahli gizi untuk penempatan di dapur satuan pelayanan pemenuhan gizi alias SPPG program makan bergizi gratis atau MBG.

Kepala BGN Dadan Hindayana menyampaikan setiap SPPG wajib memiliki satu tenaga ahli gizi. BGN menargetkan minimal 31 ribu SPPG di seluruh Indonesia.

“Per hari ini ada 10.258 SPPG,” kata Dadan saat lewat pesan singkat WhatsApp pada Jumat (3/10).

Dadan menyampaikan mekanisme rekrutmen tenaga ahli gizi akan menyesuaikan kebutuhan masing-masing SPPG.

Proses rekrutmen tenaga ahli gizi di SPPG merupakan urusan calon mitra penyelenggara MBG. Menurut Dadan, mereka umumnya merektur ahli gizi dua bulan sebelum SPPG beroperasi. “Calon mitra biasanya merekrut ahli gizi dua bulan sebelum operasional,” ujarnya.

Wakil Kepala BGN Nanik Sudaryati Deyangn sebelumnya mengatakan ada kekurangan tenaga ahli gizi untuk bekerja di unit SPPG atau dapur umum MBG.

Ia mengajak para ahli gizi berpengalaman di seluruh untuk mendaftar ke SPPG. Nanik mengatakan saat ini BGN kehabisan sumber daya yang mengerti gizi.

“Lebih senang lagi kalau yang sudah berpengalaman,” kata Nanik dalam konferensi pers di Kantor BGN, Jakarta Pusat, pada Jumat (26/9).

Kendati demikian, Nanik turut membuka peluang bagi tenaga ahli gizi lulusan baru. Hal ini juga merupakan upaya untuk menambal kekurangan sumber daya manusia (SDM) ahli gizi di proyek MBG.

Nanik optimistisnpara generasi muda cenderung lebih cepat belajar karena memiliki akses informasi yang lebih kompleks, seperti melalui media sosial. ""Kalau ada salah-salah mari kita perbaiki, tapi kasih kesempatan mereka juga untuk bisa bekerja di dapur MBG, daripada menganggur,” ujarnya.

Nanik juga mengatakan ada 5.914 pemerima manfaat MBG yang mengalami keracunan sejak Januari hingga 25 September yang tersebar di 70 lokasi. Para penerima yang menjadi korban terdiri dari anak sekolah dan ibu hamil.

BGN mengidentifikasi sejumlah penyebab utama insiden tersebut, salah satunya ditemukannya Bakteri E. coli yang berasal dari air, nasi, tahu, dan ayam. Kemudian, ditemukan Staphylococcus aureus pada tempe dan bakso, dan Salmonella pada ayam, telur, dan sayuran.

BGN juga mendapati Bacillus cereus pada mie, hingga kontaminasi air yang juga memicu penyebaran bakteri Coliform, Klebsiella, Proteus hingga kandungan logam berat timbal (Pb).","Desy Setyowati, Muhamad Fajar Riyandanu",BGN membutuhkan sekitar 20 ribu tenaga ahli gizi untuk penempatan di dapur SPPG program makan bergizi gratis atau MBG.
7,2025-10-03,katadata.co.id,https://katadata.co.id/berita/nasional/68dfd35500c9f/kuasa-hukum-minta-nadiem-dijadikan-tahanan-kota-jika-kasus-chromebook-berlanjut,Kuasa Hukum Minta Nadiem Dijadikan Tahanan Kota jika Kasus Chromebook Berlanjut,"Tim kuasa hukum mantan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi alias Mendikbudristek Nadiem Anwar Makarim meminta kliennya dijadikan tahanan kota atau tahanan rumah jika kasus yang menyeretnya berlanjut.

“Memerintahkan termohon (Kejaksaan Agung), apabila perkara ini tetap dilanjutkan ke penuntutan dan/atau pemeriksaan pokok perkara, untuk menangguhkan penahanan pemohon (Nadiem) dan/atau mengganti penahanan terhadap pemohon dengan penahanan rumah atau l penahanan kota,” kata tim kuasa hukum Nadiem dalam sidang praperadilan yang digelar di Pengadilan Negeri Jakarta Selatan, Jumat (3/10).

Kuasa hukum Nadiem berpandangan penahanan badan merupakan bentuk pembatasan kebebasan yang bersifat hukum keras dan hanya boleh dilakukan sebagai upaya terakhir apabila terpenuhinya alasan kuat serta didukung bukti permulaan sekurang-kurangnya dua alat bukti sebagaimana Pasal 184 KUHAP.

Permohonan itu dilayangkan diikuti dengan pertimbangan yang disampaikan kuasa hukum Nadiem, yakni kliennya disebut sebagai seorang yang dikenal luas, sehingga tempat tinggalnya diketahui publik. Hal itu, menjadi satu jaminan Nadiem tidak akan melarikan diri.

Kemudian, kuasa hukum Nadiem mengatakan kliennya merupakan ayah dari empat orang anak yang masih kecil. Selain itu, Nadiem disebut kooperatif dengan memenuhi setiap panggilan penyidik.

“Penahanan rumah atau penahanan kota tetap menjamin kelancaran proses hukum, tanpa harus mengorbankan hak asasi manusia dan harkat martabat pemohon yang masih berstatus belum tentu bersalah,” kata kuasa hukum Nadiem.

Dalam sidang kali ini dihadiri oleh tim hukum Nadiem serta tim hukum Kejaksaan Agung. Dalam sidang kali ini, kubu Nadiem membacakan petitum permohonan praperadilan tersebut.

Praperadilan ini merupakan langkah Nadiem melawan penetapan tersangka dirinya oleh Kejaksaan Agung (Kejagung) dalam perkara dugaan korupsi pengadaan laptop chromebook. Termohon dalam perkara ini yaitu Kejaksaan Agung RI cq Direktur Penyidikan Jaksa Agung Muda Tindak Pidana Khusus.

Sebelumnya, Kejagung menetapkan Nadiem sebagai tersangka perkara tersebut pada 4 September.","Desy Setyowati, Ade Rosman",Tim kuasa hukum Nadiem Makarim meminta kliennya dijadikan tahanan kota atau tahanan rumah jika kasus yang menyeretnya berlanjut.
8,2025-10-03,katadata.co.id,https://katadata.co.id/berita/nasional/68dfd01b56c1b/bgn-sebut-kadar-nitrit-berlebih-jadi-pemicu-keracunan-massal-mbg-bandung-barat,BGN Sebut Kadar Nitrit Berlebih Jadi Pemicu Keracunan Massal MBG Bandung Barat,"Tim Investigasi Independen Badan Gizi Nasional atau BGN menyimpulkan kandungan senyawa nitrit pada makanan program Makan Bergizi Gratis atau MBG menjadi pemicu gejala keracunan yang dialami 1.315 siswa di Bandung Barat.

Gejala itu terjadi setelah para siswa menyantap hidangan MBG yang disiapkan tiga Satuan Pelayanan Pemenuhan Gizi atau SPPG berbeda.

Ketua Tim Investigas Independen BGN Karimah Muhammad menjelaskan instansi telah menginvestigasi kasus itu dengan menemui para korban dan para dokter yang menangani korban di Puskesmas Cipongkor dan RSUD Cililin. Selain itu, mempelajari pola gejala utama korban hingga mengecek obat-obatan yang diberikan di Puskesmas dan RSUD kepada para korban.

Selain itu, Tim Investigas mempelajari hasil uji mikrobiologi dan toksikologi dari Laboratorium Kesehatan Daerah Jawa Barat yang menguji sampel dari SPPG maupun dari sisa makanan di sekolah.

“Ditemukan kadar nitrit yang sangat tinggi di buah melon dan lotek dari sampel sisa sekolah,” kata Karimah dikutip dari siaran pers pada Jumat (3/10).

Karimah menjelaskan, hasil uji sampel menunjukkan kandungan nitrit mencapai 3,91 dan 3,54 mg/L. Angka ini jauh di atas ambang batas aman. Sebagai perbandingan, Badan Perlindungan Lingkungan Amerika Serikat (EPA) hanya memperbolehkan kadar nitrit maksimal 1 mg/L dalam air minum, sementara otoritas kesehatan Kanada menetapkan batas 3 mg/L

“Jadi kalau merujuk standar EPA, maka kadar nitrit dalam sampel sisa makanan di sekolah hampir empat kali lipat dari batas maksimum,” ujar dia.

Menurut Karimah, buah dan sayuran secara alami memang mengandung nitrit. Namun, kadarnya bisa melonjak ketika bakteri mengubah nitrat menjadi nitrit atau sebaliknya.

Ia menambahkan, pola gejala yang dialami para korban konsisten dengan keracunan nitrit. Sebanyak 36% di antaranya mengalami gangguan pada saluran pencernaan bagian atas, seperti mual, muntah, atau nyeri lambung, bukan pada saluran bawah seperti diare.

Menurut Karimah, keracunan nitrit umumnya tidak menimbulkan diare. Hal itu karena nitrit merupakan zat toksik yang harus lebih dulu didetoksifikasi di hati sebelum menimbulkan dampak pada tubuh.

Tim Investigasi Independen BGN tidak menemukan keberadaan bakteri berbahaya penyebab keracunan makanan, seperti Escherichia coli, Staphylococcus aureus, maupun Bacillus cereus.

Mereka juga tidak mendeteksi racun sianida, arsen, logam berat, atau pestisida. Satu-satunya temuan dalam uji toksikologi hanyalah kandungan nitrit.

Sebelumnya, Pemerintah Kabupaten Bandung pada 23 September lalu menetapkan status kejadian luar biasa alias KLB setelah hampir 1.000 siswa dari berbagai jenjang pendidikan mengalami gejala keracunan massal dalam beberapa hari terakhir akibat konsumsi MBG.

Kasus itu tersebar di sejumlah kecamatan, seperti Lembang, Cisarua, Parongpong, dan Cipongkor. Para siswa mengalami gejala seperti mual, muntah, dan sesak napas. Sampel makanan dan muntahan korban telah diambil untuk diuji laboratorium guna memastikan sumber kontaminasi.

Langkah serupa juga diambil oleh Pemerintah Kabupaten Garut setelah ada 131 orang siswa sekolah menjadi korban keracunan per 1 Oktober.

Selanjutnya, Pemerintah Kabupaten Agam juga telah menetapkan status KLB menyusul catatan 86 korban terindikasi keracunan MBG. Rinciannya yakni 57 korban merupakan murid sekolah, 6 guru, dan 2 orang tua murid serta 21 lainnya belum melaporkan statusnya secara spesifik.","Desy Setyowati, Muhamad Fajar Riyandanu",Tim investigasi BGN menyimpulkan kandungan senyawa nitrit pada makanan program Makan Bergizi Gratis atau MBG menjadi pemicu gejala keracunan yang dialami 1.315 siswa di Bandung Barat.
9,2025-10-03,katadata.co.id,https://katadata.co.id/berita/nasional/68dfc3e528068/kepala-otorita-basuki-optimistis-ikn-siap-jadi-ibu-kota-politik-pada-2028,Kepala Otorita Basuki Optimistis IKN Siap Jadi Ibu Kota Politik pada 2028,"Kepala Otoritas Ibu Kota Nusantara atau IKN Basuki Hadimuljono bertemu dengan Wakil Menteri Sekretaris Negara alias Wamensesneg Juri Ardiantoro dan Bambang Eko Suharyanto di Kantor Kemensesneg pada Jumat (3/10).

Pertemuan itu membahas soal kelanjutan pembangunan dan persiapan IKN menjadi Ibu Kota Politik pada 2028.

""Kami optimis Nusantara dapat dipersiapkan sebagai Ibu Kota Politik Indonesia yang modern, inklusif, dan siap menjalankan sistem pemerintahan yang lengkap pada 2028,"" tulis Basuki melalui akun Instagram @basukihadimuljono, Jumat (3/10).

Selain itu, Basuki melaporkan perkembangan pembangunan IKN setelah terbitnya Peraturan Presiden atau Perpres Nomor 79 Tahun 2025 tentang Pemutakhiran Rencana Pemerintah Tahun 2025. Instrumen hukum itu memuat memuat rencana pembangunan kawasan IKN sebagai ibu kota politik pada 2028.

""Saya melaporkan status dan progres pembangunan IKN pasca terbitnya Perpres 79 Tahun 2025, sekaligus menyampaikan rencana program 2026–2028 yang difokuskan pada penyelesaian kawasan legislatif dan yudikatif sesuai arahan Bapak Presiden,"" ujar dia.

Kepala Staf Kepresidenan atau KSP Muhammad Qodari sebelumnya menjelaskan, penetapan itu merujuk pada peran IKN sebagai pusat kegiatan pemerintahan dan tak berarti bahwa negara memiliki ibu kota ganda.

Qodari menjelaskan, penyebutan ibu kota politik mengikuti target pemerintah untuk menyelesaikan pembangunan kantor lembaga eksekutif, legislatif, dan yudikatif di IKN pada 2028. Menurut dia, keberadaan tiga pilar kenegaraan itu menjadi syarat agar IKN bisa berfungsi sebagai pusat pemerintahan.

“Kalau sekarang baru ada eksekutif, baru ada Istana Negara, tapi legislatif alias DPR-nya tidak ada, nanti rapat sama siapa?” kata Qodari dalam konferensi pers kepada wartawan di Gedung Bina Graha, Kompleks Istana Kepresidenan, Jakarta, pekan lalu (22/9).

Qodari menambahkan istilah IKN sebagai Ibu Kota Politik hanyalah julukan untuk menekankan perannya sebagai pusat pemerintahan. Dia menegaskan penyebutan tersebut tidak berarti negara memiliki ibu kota ganda.

“Bukan berarti kemudian akan ada ibu kota politik lalu ada ibu kota ekonomi. Nanti ada ibu kota budaya dan ibu kota lainnya. Tidak begitu maksudnya,” ujarnya.

Pakar Kebijakan Publik Universitas Trisakti Trubus Rahadiansyah menilai upaya Prabowo yang menetapkan IKN sebagai ibu kota politik merupakan cara menjaga keberlanjutan program pemerintahan sebelumnya tanpa menanggung beban finansial sebesar konsep awal.

Prabowo telah menetapkan anggaran senilai Rp 48,8 triliun untuk pembangunan IKN selama 2025-2029. Mayoritas anggaran akan digunakan untuk pembangunan gedung parlemen hingga instansi yudikatif beserta infrastruktur penunjangnya. Anggaran ini lebih rendah dibandingkan alokasi dalam tiga tahun terakhir masa jabatan Jokowi.

Saat itu, total dana yang dikucurkan untuk IKN mencapai Rp 75,8 triliun. Rinciannya yakni Rp 5,5 triliun pada 2022, Rp 27 triliun pada 2023, dan Rp 43,3 triliun pada 2024.

""Penetapan rencana IKN sebagai ibu kota politik berusaha meyakinkan investor bahwa proyek terus berlanjut. Tapi ada penekanan IKN tidak diarahkan untuk menjadi ibu kota negara,"" kata Trubus saat dihubungi lewat sambungan telepon pada Senin (22/9).","Desy Setyowati, Muhamad Fajar Riyandanu",Kepala Otorita IKN Basuki Hadimuljono optimistis IKN siap menjadi Ibu Kota Politik pada 2028.
